catalog_number,course_title,prerequisites,typical_term_offered,course_description,Credits
664,Database Application Design ,"[""506""]",Fall,"This course is an introduction to database management systems (DBMS). It covers both theoretical and practical aspects of DBMS, including database design, use, and implementation using the database language SQL. Topics in physical database design are also discussed. An essential part of the course is a programming project through which students design and develop a practical database system for library access, electronic commerce, information retrieval, or a similar application. Students use a Python web framework connected to a MySQL database throughout the course.",3
666,Organization of Information Resources ,,Fall,"Students interested in careers in digital curation, digital repositories, and metadata and data management need a broad foundation in knowledge organization theory and approaches in a variety of domains, formats and methods. Further, they need a foundation in the different KO strategies ideal for use by organization, humans, and machines. In this course, students will learn the core concepts and principles of describing, grouping, arranging and relating information-bearing objects for different audiences. Through much of the semester focuses on the arrangement of documents and bibliographic information, this course additionally covers the organization of museum objects and their catalogs, biomedical data and records, and beyond. ",3
667,Foundations of Digital Curation ,,Winter,"The course will provide students with a foundational understanding of the core theoretical, conceptual, and practical problems in digital curation; students  will put these insights into practice through hands-on projects. Digital curation is the active involvement of information professionals in the management of digital data through its lifecycle of interest and usefulness to science, scholarship and education. Students interested in careers in this growing field will need a strong grounding in the fundamentals of digital preservation and migration; an understanding of the data practices and needs of researchers; trends and obstacles to data sharing and reuse; and experience making data fit for preservation and range of different users and uses. This course draws on current research information science, archival and library service, and cognate fields.",3
669,Developing Mobile Experiences ,"[""579"", ""507"", ""539""]",Fall,"Develop mobile applications using state of the art tools and platforms. Learn how to use standard testing, monitoring, and debugging tools to find and fix software bugs. Gain familiarity with other mobile app development approaches, UX principles and methods, and emerging mobile technologies such as wearables and Augmented Reality.",3
670,Applied Machine Learning,"[""507"", ""618"", ""602""]",Fall,"Students will learn how to correctly apply, interpret results, and iteratively refine and tune supervised and unsupervised machine learning models to solve a diverse set of problems on real-world datasets. Application is emphasized over theoretical content.",3
671,Data Mining:  Methods and Applications,"[""507"", ""618"", ""602""]",Fall,"With the explosive growth of information generated from different sources, in a variety of formats, and with various qualities, information analysis has become challenging for researchers in many disciplines.  Automatic, robust, and intelligent data mining techniques have become essential tools to handle heterogeneous, noisy, nontraditional, and large-scale data sets.  This is a seminar course of advanced topics in data mining, the state-of-the-art methods to analyze different genres of information, and the applications to many real world problems.  The course will highlight the practical applications of data mining instead of the theoretical foundations of machine learning and statistical computing.  The course materials will focus on how the information in different real world problems can be represented as particular genres, or formats of data, and how the basic mining tasks of each genre of data can be accomplished using the state-of-the-art techniques.  To this end, the course is suitable for those who are consumers of data mining techniques in their own disciplines, such as natural language processing, networks science, human computer interaction, economics, social computing, sociology, business intelligence, and biomedical informatics, etc.",3
672,Applied Clinical Informatics ,"[""542"", ""506""]",Fall,This course explores implementation of information systems in real-world clinical settings. Students will engage with clinicians to understand their workflows within the organizational context. A range of factors that affect the adoption of technology in clinical settings will be discussed.  Students will conduct technology implementation evaluations and develop strategic recommendations.,3
673,Intro to Cloud Computing,"[""506"", ""504""]",--,"In this course students will learn about cloud infrastructure, cloud networks, management, methods to compare and contrast computing services, and performance, scalability, and availability of cloud resources for data intensive tasks. Transferring of large datasets around within the cloud to create cloud based workflows will also be covered. At the end of this course, students should be able to set up cloud based workflows for doing common tasks, as well as create and explain costs and proposals. Cloud accounts will be provided to each student to meet course objectives.",1.5
676,"Network Services for Libraries, Archives, and Museums","[""506"", ""504"", ""666""]",Fall,"This course provides information professionals with skills to thrive in a networked environment. Technical material in the course will be presented in a context that emphasizes its relevance to information professionals. A central theme is programmatic access to open source systems, allowing information institutions to build services beyond their walls.",3
678,Preserving Sound and Motion ,,--,"The course examines the state of standards and best practices for the digital transformation of audio, video, and motion picture media. Lab components include digitizing sound recordings and manipulating/managing files created in the digitization process. A final segment considers preservation metadata schemes, working with vended services, and managing audiovisual projects.",3
681,Internship/Field Experience and Seminar in Practical Engagement ,,Winter,"Selected practical experience opportunity for students who perform 60 - 360 hours of work in a summer internship under the supervision of an onsite supervisor. Internship experiences for credit must be approved in advance by the UMSI Career Development Office. Students will develop learning objectives, complete reflective assignments , and design an internship portfolio demonstrating internship outcomes. This course will support students' ability to derive deeper meaning from integrated learning experience with the potential to contribute to life-long career development.",1-6
682,Advanced User Research in the Field ,"[""622""]",Winter,"Students will work with clients who will provide information problems that will be addressed by conducting research with people in the field. Students will be learn advanced research skills, and professional skills related to working directly with clients and users.",3
684,Designing Consumer-Health Technologies ,"[""588"", ""554"", ""582""]",Fall,"The course focuses on the process of designing consumer-health technologies that are based on constructs from theories about human behavior and behavior change.  Using commonly-used theories (e.g., self-monitoring, goal-setting) as examples, students will learn how to generate ideas for possible feature designs, delineate their tradeoffs, and make principled implementation decisions.",3
686,User-Generated Content ,,Alternating Fall terms,"This half-semester course analyzes the motivation and incentives for user-generated content. We use social science theories as guidance to study the current incentive structures of online Q&A, microfinance, P2P file sharing, open source, social bookmarking and health information exchange sites,
as well as potential new design features that could improve the quantity and quality of the contents.
After completing this course you will be able to:
(1) have a broad understanding of situations where it may be valuable to explicitly consider individual incentives when engineering systems;
(2) recognize the class of mechanism that would be appropriate to particular real-world settings involving user-generated content; and
(3) identify the key design considerations in adapting such mechanisms to particular online communities.",1.5
688,Immersive Applied Projects in the Social Sector ,,Winter (Coursework completed over summer),"This course is an innovative, immersive experiential approach to learning and professional development. In this course, selected interdisciplinary teams of graduate students are paired with social, public, and civic sector organizations to study, design, develop and implement solutions to information challenges identified by collaborating organizations. Student teams will leverage their emergent skills in contextual inquiry, needs assessment, product ideation, consultation, interdisciplinary specialization, and the deep understanding of the complex relationships between people, information, and technology, to frame, develop, build, and implement an information product connected to host organizations' social justice work. Students from all areas of UMSI are encouraged to participate to meet the myriad needs of community organizations.  In order to participate, students are required to apply early in the Winter term at umsi.info/mcompass.giep (non-profit projects) and/or umsi.info/mcompass.cidsummerfellows (civic projects).  Once students are accepted into the program, an override will be processed to provide access to add the course to the Winter term schedule.  Email umsi.engagement@umich.edu for more information or with questions.",6
690,Internship/Field Experience and Seminar in Practical Engagement ,,Fall,"Selected practical experience opportunity for students who perform at least 60 hours of work in an internship. One credit hour is granted for 60 hours of work under the supervision of an onsite supervisor. Internship experiences for credit and enrollment in this course must be approved in advance by the UMSI Career Development Office. Students will develop learning objectives, complete reflective assignments, and design an internship portfolio demonstrating internship outcomes. This course will support students' ability to derive deeper meaning from an integrated learning experience with the potential to contribute to life-long career development.",1-9
691,Independent Study ,,Availble only with willing advisor,Independent Study,1-3
697,Master's Thesis Option Program - 1st Semester ,,Fall ,"As a professional program in a research institution, the School of Information recognizes both the value of engaged learning and the value of research-oriented activities. Drawing on the substantial backgrounds of our faculty as research scholars and mentors, UMSI offers an opportunity for master's students to spend part of their second year at UMSI writing a master's thesis.",2
698,Master's Thesis Option Program - 2nd Semester ,,Winter,"As a professional program in a research institution, the School of Information recognizes both the value of engaged learning and the value of research-oriented activities. Drawing on the substantial backgrounds of our faculty as research scholars and mentors, UMSI offers an opportunity for master's students to spend part of their second year at UMSI writing a master's thesis.",3
699,MSI Mastery Courses ,,As Need By Topic,"As the capstone of the MSI program, these courses require a high level of independence from students to demonstrate synthesis of the major theories, methods, and approaches to inquiry and/or schools of practice necessary for entry into a particular career in the information professions. Instructors assume the role of mentor, facilitator, or advisor. The courses are driven by problem analysis, information gathering and sharing, demonstrating solutions, or a combination of these elements.

For topic details, see: https://www.si.umich.edu/programs/courses/mastery-courses",3
699.X01,UX Research and Design ,"[""588"", ""582"", ""539"", ""622"", ""520""]",Fall,"UX Research and Design practitioners select and apply a range of methods to understand user needs, envision solutions, produce prototypes, and evaluate the user experience of existing and potential products. In the UX Research and Design mastery course, students synthesize their skills and knowledge by completing a semester-long project to design a product to address a well-defined user need, applying appropriate research and design methods along the way. Specific project themes vary from one offering to the next. Example themes from previous semesters include accessibility, museum exhibits, and supporting economic development. ",3
699.X03,User-centered Agile Development ,"[""664"", ""588"", ""582"", ""669"", ""622"", ""504""]",Winter,"User-Centered Agile Development is a mastery course for students interested in pursuing a career in software product development with a UX focus. Students work in groups of 4-6 on a semester-long project with an external client, integrating UX research and design methods with agile software development, with the goal of producing and alpha testing a Minimally Viable Prototype by the end of the course.",3
699.X05,Big Data Analytics ,"[""670"", ""671"", ""504"", ""568""]",Fall,"The Big Data Analytics mastery course requires students to demonstrate mastery of data collection, processing, analysis, visualization, and interpretation. Students work on semester-long projects that deal with industry-scale data sets and address real-world problems, often using real-world data. Students gain experience working in a fast-paced, collaborative environment, while demonstrating independence and leadership. Course projects culminate in the production of professional-quality research reports that are suitable for delivery to industry partners. ",3
